Company Name, email, telephone, Website
AlcinaAG, admin@alcina.ch, 0617569100 | 0617569109, www.alpecin.ch
AriseCareSA, info@arise.ch, 0324945200 | , www.arise.ch
ARVALSA, info@arvalcosmetics.com, 0273454565 | 0273454560, www.arvalcosmetics.com
ASMAerosol-ServiceAG, info@aerosol-service.com, 0618556767 | 0618556700, www.aerosol-service.com
Bayer(Schweiz)AG, info@bayer.ch, 0444658111 | 0444620754, www.bayer.ch
BeiersdorfAG, infobdf.bsl@beiersdorf.com, 0614156111 | 0614156332, www.beiersdorf.ch
BlidorAG, mail@blidor.ch, 0447147272 | 0447133269, www.blidor.ch
BlueBoxDistributionAG, contact@blueboxag.ch, 0413111930 | 0413111932, www.blueboxag.ch
BTCLaboratoireSA, info@btc-laboratoire.ch, 0216521617 | 0216521603, www.btc-laboratoire.ch
BulgariGlobalOperationsSA, bulgarine.reception@bulgari.com, 0327227878 | 0327227933, www.bulgari.com
ChemischeFabrikSchärer&SchläpferAG, info@schaerer-surfactants.com, 0627858030 | 0627944221, www.schaerer-surfactants.com
CocooningNatureSA, info@schaerer-surfactants.com,  | 0218821416 | 0218815502, www.cocooning.ch
CosmétiqueSAWorben, info@cosmetique-sa.com, 0323877900 | 0323877910, www.cosmetique-sa.com
CotyBeautySwissSARL, info@cotyinc.com, 0417850088 | 0417850090, www.coty.com
CRBS.A., admin@crbcosmetics.ch, 0219460000 | 0219460009, www.crbcosmetics.ch
CVLCOSMETICSSA, contact@cvl-cosmetics.ch, 0218046100 | , www.evalmont.comwww.ilprofvmo.comwww.valmont.swiss
deltapronaturaSchweizAG, info@delta-pronatura.de, 0612714688 | 0616310031, www.dr-beckmann.ch
DicoparSA, info@dicopar.ch, 0614117288 | 0614115028, www.dicopar.ch
Diversey, info.ch@diversey.com, 0719692727 | 0719692253, www.diversey-schweiz.ch
Dobi-InterAG, info@dobi.ch, 0628552222 | 0628552200, www.dobi.ch
DoetschGretherAG, info@doetschgrether.ch, 0612873411 | 0612873413, www.doetschgrether.ch
Ecolab(Schweiz)GmbH, ch-infodesk@ecolab.ch, 0614669466 | 0614669444, www.ecolab-suisse.ch
EstéeLauderGmbH, info@esteelauder.ch, 0442839393 | 0442839303, www.esteelauder.ch
FarfallaEssentialsAG, info@farfalla.ch, 0449059900 | 0449059909, www.farfalla.ch
FCCFragrancesCosmetics&ConsultingSA, info@farfalla.ch,  | 0244663741 | 0244669551, www.swiss-fcc.ch
FilabéofSwitzerlandAG, contact@filabe.ch, 0526340570 | 0526340574, www.filabe.ch
FrikeCosmeticAG, info@frike-group.com, 0449492111 | , www.frike-group.com
GABASchweizAG, info@gaba.ch, 0617254545 | 0617254599, www.gaba.ch
GaldermaSA, info.chegk@galderma.ch, 0584558500 | , www.galderma.com
GerdaSpillmannAG, info@gerdaspillmann.ch, 0319175100 | 0319175101, www.gerdaspillmann.ch
HairHausSuisseAG, info@hair-haus.ch, 0417852170 | 0417852171, www.hair-haus.ch
HelvecosAG, info@hair-haus.ch,  | 0713656090 | 0713656099, www.helvecos.ch
Henkel&Cie.AG, info.henkel-schweiz@henkel.com, 0618257000 | 0618257444, www.henkel.ch
IntercosmeticaNeuchâtelSA, info@intercosmetica.ch, 0327225000 | 0327225090, www.intercosmetica.ch
intracosmedag, info@intracosmed.ch, 0717910707 | 0717910708, www.intracosmed.ch
IromedicaAG, info@iromedica.ch, 0712741800 | 0712741801, www.iromedica.ch
IsadoraAGInternational, info@isadora.com, 0629561181 | 0629561189, www.isadora.com
Johnson&JohnsonAG, info@jnj.ch, 0582315050 | 0582315051, www.jnj.com
JUSTInternationalAG, info@just.ch, 0718864200 | 0718864250, www.just.ch
JüstrichCosmeticsAG, info@juestrich-cosmetics.ch, 0717261177 | 0717261170, www.juestrich-cosmetics.ch
JuvenaMarliesMöllerAG, office@troll-cosmetics.com, 0718881781 | 0718881780, www.juvena.com/de/
KaneboCosmetics(Europa)AG, info@kanebo-cosmetics.ch, 0448087642 | 0448087637, www.kanebo-cosmetics.ch
KaoSwitzerlandAG, CustomerService.Salon.CH@kao.com, 0417660606 | , www.goldwell.ch
KärcherAG, info@ch.kaercher.com, 0844850868 | 0844850865, www.kaercher.ch
L'OréalSuisseS.A., office.ch@loreal.com, 0581051010 | 0581051022, www.loreal.ch
L'OréalSuisseS.A.DivisionProduitsProfessionnels, office.ch@loreal.com, 0581051010 | 0581051022, www.loreal.ch
LaColline, beauty@lacolline-skincare.com, 0273213505 | , www.lacolline-skincare.com
LaPrairieGroupAG, info@laprairiegroup.ch, 0449478210 | 0449478211, www.laprairiegroup.ch
